"gene_name","old_annotation","pfams","GOs"
"LOC105433064","E3 ubiquitin-protein ligase SIAH1-like isoform X2","PF00106|short chain dehydrogenase; PF03145|Seven in absentia protein family","GO:0016491|oxidoreductase activity; GO:0005737|cytoplasm; GO:0006511|ubiquitin-dependent protein catabolic process; GO:0007275|multicellular organism development"
"LOC105433064","retinol dehydrogenase 13-like isoform X1","PF00106|short chain dehydrogenase; PF03145|Seven in absentia protein family","GO:0016491|oxidoreductase activity; GO:0005737|cytoplasm; GO:0006511|ubiquitin-dependent protein catabolic process; GO:0007275|multicellular organism development"
"LOC105433065","peptidyl-prolyl cis-trans isomerase FKBP4","PF18023|BDBT FKBP like N-terminal",NA
"LOC105433065","peptidyl-prolyl cis-trans isomerase FKBP4","PF18023|BDBT FKBP like N-terminal",NA
"LOC105433066","atlastin isoform X4","PF02263|Guanylate-binding protein, N-terminal domain","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105433066","atlastin isoform X6","PF02263|Guanylate-binding protein, N-terminal domain","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105433066","atlastin isoform X5","PF02263|Guanylate-binding protein, N-terminal domain","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105433066","atlastin isoform X3","PF02263|Guanylate-binding protein, N-terminal domain","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105433066","atlastin isoform X2","PF02263|Guanylate-binding protein, N-terminal domain","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105433066","atlastin isoform X1","PF02263|Guanylate-binding protein, N-terminal domain","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105433074","uncharacterized protein LOC105433074",NA,NA
"LOC105433075","DNA mismatch repair protein Msh2-like, partial","PF00488|MutS domain V","GO:0005524|ATP binding; GO:0006298|mismatch repair; GO:0030983|mismatched DNA binding"
"LOC105433077","alkylated DNA repair protein alkB homolog 8, partial","PF08241|Methyltransferase domain; PF13532|2OG-Fe(II) oxygenase superfamily","GO:0008168|methyltransferase activity"
"LOC105433078","exosome complex component rrp45 isoform X2","PF01138|3' exoribonuclease family, domain 1; PF03725|3' exoribonuclease family, domain 2",NA
"LOC105433078","exosome complex component rrp45 isoform X1","PF01138|3' exoribonuclease family, domain 1; PF03725|3' exoribonuclease family, domain 2",NA
"LOC105433078","exosome complex component rrp45 isoform X1","PF01138|3' exoribonuclease family, domain 1; PF03725|3' exoribonuclease family, domain 2",NA
"LOC105433078","exosome complex component rrp45 isoform X1","PF01138|3' exoribonuclease family, domain 1; PF03725|3' exoribonuclease family, domain 2",NA
"LOC105433080","kelch domain-containing protein 10 homolog","PF13418|Galactose oxidase, central domain; PF01344|Kelch motif","GO:0005515|protein binding"
"LOC105433083","TRPL translocation defect protein 14","PF13521|AAA domain",NA
"LOC105433084","putative uncharacterized protein DDB_G0291608","PF18044|CCCH-type zinc finger",NA
"LOC105433085","RNA-binding protein squid-like isoform X1","PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","GO:0003676|nucleic acid binding"
"LOC105433085","RNA-binding protein squid-like isoform X2","PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","GO:0003676|nucleic acid binding"
"LOC105433086","DNA topoisomerase 2 isoform X1","PF02518|Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase; PF08070|DTHCT (NUC029) region; PF00521|DNA gyrase/topoisomerase IV, subunit A; PF00204|DNA gyrase B; PF16898|C-terminal associated domain of TOPRIM; PF01751|Toprim domain","GO:0003677|DNA binding; GO:0003918|DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity; GO:0005524|ATP binding; GO:0006265|DNA topological change"
"LOC105433086","DNA topoisomerase 2 isoform X1","PF02518|Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase; PF08070|DTHCT (NUC029) region; PF00521|DNA gyrase/topoisomerase IV, subunit A; PF00204|DNA gyrase B; PF16898|C-terminal associated domain of TOPRIM; PF01751|Toprim domain","GO:0003677|DNA binding; GO:0003918|DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity; GO:0005524|ATP binding; GO:0006265|DNA topological change"
"LOC105433086","DNA topoisomerase 2 isoform X2","PF02518|Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase; PF08070|DTHCT (NUC029) region; PF00521|DNA gyrase/topoisomerase IV, subunit A; PF00204|DNA gyrase B; PF16898|C-terminal associated domain of TOPRIM; PF01751|Toprim domain","GO:0003677|DNA binding; GO:0003918|DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity; GO:0005524|ATP binding; GO:0006265|DNA topological change"
"LOC105433087","serine/threonine-protein kinase tousled-like 2 isoform X2","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433087","serine/threonine-protein kinase tousled-like 2 isoform X1","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433087","serine/threonine-protein kinase tousled-like 2 isoform X1","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433087","serine/threonine-protein kinase tousled-like 2 isoform X1","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433087","serine/threonine-protein kinase tousled-like 2 isoform X1","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433087","serine/threonine-protein kinase tousled-like 2 isoform X5","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433087","serine/threonine-protein kinase tousled-like 2 isoform X3","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433087","serine/threonine-protein kinase tousled-like 2 isoform X4","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433087","serine/threonine-protein kinase tousled-like 2 isoform X4","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105433087","serine/threonine-protein kinase tousled-like 2 isoform X4","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105422486","KICSTOR complex protein ITFG2-like","PF15907|Integrin-alpha FG-GAP repeat-containing protein 2",NA
"LOC105422486","KICSTOR complex protein ITFG2-like","PF15907|Integrin-alpha FG-GAP repeat-containing protein 2",NA
"LOC105422560","mitochondrial inner membrane protease subunit 2","PF10502|Signal peptidase, peptidase S26","GO:0004252|serine-type endopeptidase activity; GO:0006465|signal peptide processing"
"LOC105422488","uncharacterized protein LOC105422488 isoform X2","PF15361|Resistance to inhibitors of cholinesterase homologue 3",NA
"LOC105422488","uncharacterized protein LOC105422488 isoform X3","PF15361|Resistance to inhibitors of cholinesterase homologue 3",NA
"LOC105422488","uncharacterized protein LOC105422488 isoform X1","PF15361|Resistance to inhibitors of cholinesterase homologue 3",NA
"LOC105422489","28S ribosomal protein S36, mitochondrial isoform X1","PF10937|Ribosomal protein S36, mitochondrial",NA
"LOC105422489","28S ribosomal protein S36, mitochondrial isoform X2","PF10937|Ribosomal protein S36, mitochondrial",NA
"LOC105422561","heat shock protein 83-like","PF00183|Hsp90 protein","GO:0005524|ATP binding; GO:0006457|protein folding; GO:0016887|ATPase activity; GO:0051082|unfolded protein binding"
"LOC105422490","heat shock protein 83-like","PF00183|Hsp90 protein; PF13589|Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","GO:0005524|ATP binding; GO:0006457|protein folding; GO:0016887|ATPase activity; GO:0051082|unfolded protein binding"
"LOC105422492","calcium and integrin-binding family member 3-like","PF13499|EF-hand domain pair","GO:0005509|calcium ion binding"
"LOC105422493","protein misato","PF10644|Misato Segment II tubulin-like domain; PF14881|Tubulin domain",NA
"LOC105422563","uncharacterized protein LOC105422563","PF08652|RAI1 like PD-(D/E)XK nuclease",NA
"LOC105422495","decapping and exoribonuclease protein","PF08652|RAI1 like PD-(D/E)XK nuclease",NA
"LOC105422496","G patch domain and ankyrin repeat-containing protein 1 homolog","PF13857|Ankyrin repeats (many copies); PF01585|G-patch domain","GO:0003676|nucleic acid binding"
"LOC105422497","mitochondrial import inner membrane translocase subunit Tim10","PF02953|Tim10/DDP family zinc finger",NA
"LOC105422497","mitochondrial import inner membrane translocase subunit Tim10","PF02953|Tim10/DDP family zinc finger",NA
"LOC105422498","regulator of chromosome condensation","PF00415|Regulator of chromosome condensation (RCC1) repeat",NA
"LOC105422499","hemicentin-1-like isoform X4",NA,NA
"LOC105422499","basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X1",NA,NA
"LOC105422499","hemicentin-1-like isoform X2",NA,NA
"LOC105422499","hemicentin-1-like isoform X3",NA,NA
"LOC105422502","eukaryotic translation initiation factor 6","PF01912|eIF-6 family","GO:0042256|mature ribosome assembly; GO:0043022|ribosome binding"
"LOC105422500","uncharacterized protein LOC105422500 isoform X2",NA,NA
"LOC105422500","uncharacterized protein LOC105422500 isoform X1",NA,NA
"LOC105422505","TM2 domain-containing protein almondex","PF05154|TM2 domain",NA
"LOC105422504","integrator complex subunit 14","PF13519|von Willebrand factor type A domain",NA
"LOC105422503","pyroglutamyl-peptidase 1 isoform X1","PF01470|Pyroglutamyl peptidase",NA
"LOC105422503","pyroglutamyl-peptidase 1 isoform X2","PF01470|Pyroglutamyl peptidase",NA
"LOC105422503","pyroglutamyl-peptidase 1 isoform X2","PF01470|Pyroglutamyl peptidase",NA
"LOC105422503","pyroglutamyl-peptidase 1 isoform X2","PF01470|Pyroglutamyl peptidase",NA
"LOC105422564","annexin B9-like","PF00191|Annexin","GO:0005509|calcium ion binding; GO:0005544|calcium-dependent phospholipid binding"
"LOC105422507","uncharacterized protein LOC105422507","PF00057|Low-density lipoprotein receptor domain class A","GO:0005515|protein binding"
"LOC105422506","CAP-Gly domain-containing linker protein 1-like",NA,NA
"LOC105422509","fringe glycosyltransferase isoform X1","PF02434|Fringe-like","GO:0016020|membrane; GO:0016757|transferase activity, transferring glycosyl groups"
"LOC105422509","fringe glycosyltransferase isoform X2","PF02434|Fringe-like","GO:0016020|membrane; GO:0016757|transferase activity, transferring glycosyl groups"
"LOC105422510","lethal(3)malignant brain tumor-like protein 3 isoform X1","PF02820|mbt repeat; PF01530|Zinc finger, C2HC type; PF00536|SAM domain (Sterile alpha motif)","GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0008270|zinc ion binding; GO:0005515|protein binding"
"LOC105422510","lethal(3)malignant brain tumor-like protein 3 isoform X2","PF02820|mbt repeat; PF01530|Zinc finger, C2HC type; PF00536|SAM domain (Sterile alpha motif)","GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0008270|zinc ion binding; GO:0005515|protein binding"
"LOC105422510","lethal(3)malignant brain tumor-like protein 3 isoform X2","PF02820|mbt repeat; PF01530|Zinc finger, C2HC type; PF00536|SAM domain (Sterile alpha motif)","GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0008270|zinc ion binding; GO:0005515|protein binding"
"LOC105422511","protein-L-isoaspartate O-methyltransferase domain-containing protein 1-like","PF01135|Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)",NA
"LOC105422511","protein-L-isoaspartate O-methyltransferase domain-containing protein 1-like","PF01135|Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)",NA
"LOC105422511","protein-L-isoaspartate O-methyltransferase domain-containing protein 1-like","PF01135|Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)",NA
"LOC105422515","uncharacterized protein LOC105422515","PF00008|EGF-like domain; PF13927|Immunoglobulin domain",NA
"LOC105422514","electron transfer flavoprotein beta subunit lysine methyltransferase-like isoform X1","PF10294|Lysine methyltransferase",NA
"LOC105422514","electron transfer flavoprotein beta subunit lysine methyltransferase-like isoform X2","PF10294|Lysine methyltransferase",NA
"LOC105422513","uncharacterized protein LOC105422513",NA,NA
"LOC105422512","nuclear receptor-binding protein homolog","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105422516","uncharacterized protein LOC105422516",NA,NA
"LOC105422517","integral membrane protein GPR155","PF03547|Membrane transport protein; PF00610|Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)","GO:0016021|integral component of membrane; GO:0055085|transmembrane transport; GO:0035556|intracellular signal transduction"
"LOC105422565","LOW QUALITY PROTEIN: uncharacterized protein LOC105422565",NA,NA
"LOC105422519","myeloid leukemia factor isoform X2","PF10248|Myelodysplasia-myeloid leukemia factor 1-interacting protein",NA
"LOC105422519","myeloid leukemia factor isoform X1","PF10248|Myelodysplasia-myeloid leukemia factor 1-interacting protein",NA
"LOC105422519","myeloid leukemia factor isoform X3","PF10248|Myelodysplasia-myeloid leukemia factor 1-interacting protein",NA
"LOC105422520","enkurin isoform X1","PF13864|Calmodulin-binding",NA
"LOC105422520","enkurin isoform X2","PF13864|Calmodulin-binding",NA
"LOC105422521","calcineurin subunit B type 2","PF13499|EF-hand domain pair","GO:0005509|calcium ion binding"
"LOC105422523","uncharacterized protein LOC105422523","PF09184|PPP4R2","GO:0019888|protein phosphatase regulator activity; GO:0030289|protein phosphatase 4 complex"
"LOC105422522","ATP-binding cassette sub-family B member 10, mitochondrial","PF00005|ABC transporter; PF00664|ABC transporter transmembrane region","GO:0005524|ATP binding; GO:0005524|ATP binding; GO:0016021|integral component of membrane; GO:0055085|transmembrane transport; GO:0140359|ABC-type transporter activity"
"LOC105422524","eukaryotic translation initiation factor 3 subunit F","PF01398|JAB1/Mov34/MPN/PAD-1 ubiquitin protease; PF13012|Maintenance of mitochondrial structure and function","GO:0005515|protein binding; GO:0008237|metallopeptidase activity; GO:0070122|NA"
"LOC105422525","actin-related protein 10","PF00022|Actin",NA
"LOC105422526","OTU domain-containing protein 5-B","PF02338|OTU-like cysteine protease",NA
"LOC105422528","serine/threonine-protein kinase Nek5-like","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105422528","serine/threonine-protein kinase Nek5-like","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105422529","MAM and LDL-receptor class A domain-containing protein 1-like isoform X1","PF00629|MAM domain, meprin/A5/mu","GO:0016020|membrane"
